ID,Label,Category,Place,"Lat., Long.",PubType,Affiliation,Gender
"Company, Flavia","Company, Flavia",Author,,,,,
"Conrad, Patrick","Conrad, Patrick",Author,,,,,
"Constant, Paule","Constant, Paule",Author,,,,,
"Constantini, Roberto","Constantini, Roberto",Author,,,,,
"Conte, Giuseppe","Conte, Giuseppe",Author,,,,,
"Coop-Phane, Oscar","Coop-Phane, Oscar",Author,,,,,
"Corbiere, Tristan","Corbiere, Tristan",Author,,,,,
"Cortazar, Julio","Cortazar, Julio",Author,,,,,
"Cosse, Laurence","Cosse, Laurence",Author,,,,,
"Cossery, Albert","Cossery, Albert",Author,,,,,
"Couperus, Louis","Couperus, Louis",Author,,,,,
"Courtemanche, Gil","Courtemanche, Gil",Author,,,,,
"Coutinho, Domicio","Coutinho, Domicio",Author,,,,,
"Couto, Mia","Couto, Mia",Author,,,,,
"Crosthwaite, Luis Humberto","Crosthwaite, Luis Humberto",Author,,,,,
"Cucchi, Maurizio","Cucchi, Maurizio",Author,,,,,
"Cuenca, Joao Paulo","Cuenca, Joao Paulo",Author,,,,,
"Curiol, Celine","Curiol, Celine",Author,,,,,
"Cury, Augusto","Cury, Augusto",Author,,,,,
"Cushman, Amanda","Cushman, Amanda",Author,,,,,
"Czurda, Elfriede","Czurda, Elfriede",Author,,,,,
"D'Annunzio, Gabriele","D'Annunzio, Gabriele",Author,,,,,
"D'Aquino, Alfonso","D'Aquino, Alfonso",Author,,,,,
"Dabija, Adina","Dabija, Adina",Author,,,,,
"Dabrowski, Tadeusz","Dabrowski, Tadeusz",Author,,,,,
"Daeninckx, Didier","Daeninckx, Didier",Author,,,,,
"Dagerman, Stig","Dagerman, Stig",Author,,,,,
"Dagtekin, Seyhmus","Dagtekin, Seyhmus",Author,,,,,
"Dahl, Arne","Dahl, Arne",Author,,,,,
"Dahl, K. O.","Dahl, K. O.",Author,,,,,
"Dahl, K.O.","Dahl, K.O.",Author,,,,,
"Dahle, Gro","Dahle, Gro",Author,,,,,
"Daigle, France","Daigle, France",Author,,,,,
"Daive, Jean","Daive, Jean",Author,,,,,
"Dal, Hugh-Alain","Dal, Hugh-Alain",Author,,,,,
"Dan, Oniroku","Dan, Oniroku",Author,,,,,
"Dantec, Maurice","Dantec, Maurice",Author,,,,,
"Daoud, Hassan","Daoud, Hassan",Author,,,,,
"Darwish, Mahmoud","Darwish, Mahmoud",Author,,,,,
"Darwish, Najwan","Darwish, Najwan",Author,,,,,
"Dath, Dietmar","Dath, Dietmar",Author,,,,,
"David-Weill, Cecile","David-Weill, Cecile",Author,,,,,
"David-Weill, Natalie","David-Weill, Natalie",Author,,,,,
"Davidsdottir, Vilborg","Davidsdottir, Vilborg",Author,,,,,
"Davys, Tim","Davys, Tim",Author,,,,,
"Dayen, Aleksey","Dayen, Aleksey",Author,,,,,
"Dazai, Osamu","Dazai, Osamu",Author,,,,,
"Dazieri, Sandrone","Dazieri, Sandrone",Author,,,,,
"de Andrade, Eugenio","de Andrade, Eugenio",Author,,,,,
"de Angelis, Milo","de Angelis, Milo",Author,,,,,
"de Cataldo, Giancarlo","de Cataldo, Giancarlo",Author,,,,,
"de Fiori, Rossi","de Fiori, Rossi",Author,,,,,
"De Giovanni, Maurizio","De Giovanni, Maurizio",Author,,,,,
"de la Motte, Anders","de la Motte, Anders",Author,,,,,
"de La Tour du Pin, Patrice","de La Tour du Pin, Patrice",Author,,,,,
"De Luca, Erri","De Luca, Erri",Author,,,,,
"de Palchi, Alfredo","de Palchi, Alfredo",Author,,,,,
"de Sade, Marquise","de Sade, Marquise",Author,,,,,
"De Silva, Diego","De Silva, Diego",Author,,,,,
"De Vigan, Delphine","De Vigan, Delphine",Author,,,,,
"De Winter, Leon","De Winter, Leon",Author,,,,,
"Debeljak, Ales","Debeljak, Ales",Author,,,,,
"Deck, Julia","Deck, Julia",Author,,,,,
"Dehnel, Jacek","Dehnel, Jacek",Author,,,,,
"Delacourt, Gregoire","Delacourt, Gregoire",Author,,,,,
"Delius, Friedrich Christian","Delius, Friedrich Christian",Author,,,,,
"Delta, Penelope","Delta, Penelope",Author,,,,,
"Delville, Michel","Delville, Michel",Author,,,,,
"Denemarkova, Radka","Denemarkova, Radka",Author,,,,,
"Denysenko, Larysa","Denysenko, Larysa",Author,,,,,
"Deon, Michel","Deon, Michel",Author,,,,,
"Derieva, Regina","Derieva, Regina",Author,,,,,
"Desarthe, Agnes","Desarthe, Agnes",Author,,,,,
"Desjardins, Martine","Desjardins, Martine",Author,,,,,
"Desnos, Robert","Desnos, Robert",Author,,,,,
"Devi, Ananda","Devi, Ananda",Author,,,,,
"Devi, Mahasweta","Devi, Mahasweta",Author,,,,,
"Di Benedetto, Antonio","Di Benedetto, Antonio",Author,,,,,
"Di Donato, Dinapiera","Di Donato, Dinapiera",Author,,,,,
"Di Grado, Viola ","Di Grado, Viola ",Author,,,,,
"Di Piazza, Giuseppe","Di Piazza, Giuseppe",Author,,,,,
"Di, Ming","Di, Ming",Author,,,,,
"Di, Xue","Di, Xue",Author,,,,,
"Diaz, Rene Vazquez","Diaz, Rene Vazquez",Author,,,,,
